Rk,G,Date,Age,Tm,HA,Opp,Res,GS,MP,FG,FGA,FG,3P,3PA,3P,FT,FTA,FT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,file
1,1,10/25/2023,19-294,SAS,,DAL,L (-7),1,23:19,6,9,0.667,3,5,0.6,0,1,0,0,5,5,2,2,1,5,5,15,9.3,wemby
2,2,10/27/2023,19-296,SAS,,HOU,W (+4),1,30:59:00,7,19,0.368,0,6,0,7,8,0.875,5,7,12,1,3,3,4,2,21,16.7,wemby
3,3,10/29/2023,19-298,SAS,@,LAC,L (-40),1,26:16:00,4,10,0.4,0,2,0,3,6,0.5,1,4,5,2,1,1,5,1,11,4,wemby
4,4,10/31/2023,19-300,SAS,@,PHO,W (+1),1,28:13:00,6,12,0.5,2,6,0.333,4,5,0.8,3,5,8,1,0,4,5,3,18,12.5,wemby
5,5,11/2/2023,19-302,SAS,@,PHO,W (+11),1,34:21:00,15,26,0.577,3,6,0.5,5,6,0.833,2,8,10,2,1,2,2,3,38,29.8,wemby
6,6,11/5/2023,19-305,SAS,,TOR,L (-7),1,37:54:00,7,16,0.438,2,7,0.286,4,5,0.8,2,7,9,4,1,5,2,1,20,19.6,wemby
7,7,11/6/2023,19-306,SAS,@,IND,L (-41),1,21:17,3,12,0.25,2,5,0.4,5,6,0.833,1,9,10,0,1,2,2,1,13,8.8,wemby
8,8,11/8/2023,19-308,SAS,@,NYK,L (-21),1,30:11:00,4,14,0.286,0,4,0,6,6,1,4,5,9,2,0,1,3,2,14,8.4,wemby
9,9,11/10/2023,19-310,SAS,,MIN,L (-7),1,34:54:00,12,21,0.571,3,7,0.429,2,4,0.5,1,8,9,4,1,4,3,5,29,23,wemby
10,10,11/12/2023,19-312,SAS,,MIA,L (-5),1,34:24:00,8,22,0.364,2,9,0.222,0,0,,1,10,11,7,1,1,7,3,18,7.9,wemby
11,11,11/14/2023,19-314,SAS,@,OKC,L (-36),1,28:20:00,4,15,0.267,0,3,0,0,0,,3,11,14,2,0,2,5,2,8,1.5,wemby
12,12,11/17/2023,19-317,SAS,,SAC,L (-9),1,30:28:00,12,26,0.462,2,8,0.25,1,1,1,1,8,9,0,2,0,4,3,27,13.5,wemby
13,13,11/18/2023,19-318,SAS,,MEM,L (-12),1,31:07:00,6,17,0.353,2,6,0.333,5,6,0.833,4,9,13,4,1,8,2,5,19,20,wemby
14,14,11/20/2023,19-320,SAS,,LAC,L (-25),1,26:33:00,4,12,0.333,0,4,0,1,1,1,0,3,3,4,0,2,1,1,9,5.9,wemby
15,15,11/22/2023,19-322,SAS,,LAC,L (-7),1,32:47:00,7,13,0.538,1,2,0.5,7,7,1,2,13,15,3,1,3,2,2,22,23.4,wemby
16,16,11/24/2023,19-324,SAS,@,GSW,L (-6),1,35:09:00,8,18,0.444,1,6,0.167,5,5,1,2,7,9,4,1,2,6,2,22,14.5,wemby
17,17,11/26/2023,19-326,SAS,@,DEN,L (-12),1,24:56:00,7,17,0.412,2,5,0.4,6,7,0.857,4,7,11,2,6,4,3,4,22,23,wemby
18,18,11/30/2023,19-330,SAS,,ATL,L (-2),1,29:17:00,9,16,0.563,1,5,0.2,2,2,1,2,10,12,2,2,4,2,1,21,21.6,wemby
19,,12/1/2023,19-331,SAS,@,NOP,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,wemby
20,19,12/6/2023,19-336,SAS,@,MIN,L (-8),1,32:25:00,4,13,0.308,0,2,0,4,6,0.667,3,7,10,1,1,1,2,1,12,7.9,wemby
21,20,12/8/2023,19-338,SAS,,CHI,L (-9),1,31:49:00,8,20,0.4,0,4,0,5,6,0.833,7,13,20,4,1,4,1,2,21,23.4,wemby
22,21,12/11/2023,19-341,SAS,@,HOU,L (-11),1,33:00:00,7,15,0.467,1,6,0.167,0,1,0,2,16,18,3,0,5,5,3,15,12.5,wemby
